country,country_code,year,predicted_population
Djibouti,DJI,2024,1158330.6864
Djibouti,DJI,2025,1163311.50835152
Djibouti,DJI,2026,1167848.423234091
Djibouti,DJI,2027,1171935.8927154103
Djibouti,DJI,2028,1175568.8939828281
Djibouti,DJI,2029,1178742.9299965817
Djibouti,DJI,2030,1181454.0387355739
Djibouti,DJI,2031,1183698.8014091714
Djibouti,DJI,2032,1185474.3496112851
Djibouti,DJI,2033,1186778.3713958578
Dominica,DMA,2024,66065.8364
Dominica,DMA,2025,65656.22821432
Dominica,DMA,2026,65249.15959939122
Dominica,DMA,2027,64844.614809875
Dominica,DMA,2028,64442.57819805377
Dominica,DMA,2029,64043.03421322584
Dominica,DMA,2030,63645.96740110384
Dominica,DMA,2031,63251.362403217
Dominica,DMA,2032,62859.203956317055
Dominica,DMA,2033,62469.47689178789
Dominican Republic,DOM,2024,11343677.3343
Dominican Republic,DOM,2025,11352752.27616744
Dominican Republic,DOM,2026,11358428.652305523
Dominican Republic,DOM,2027,11360700.338035984
Dominican Republic,DOM,2028,11359564.26800218
Dominican Republic,DOM,2029,11355020.44229498
Dominican Republic,DOM,2030,11347071.927985372
Dominican Republic,DOM,2031,11335724.856057387
Dominican Republic,DOM,2032,11320988.413744513
Dominican Republic,DOM,2033,11302874.832282523
East Timor,TLS,2024,1391432.0168
East Timor,TLS,2025,1397415.17447224
East Timor,TLS,2026,1402166.3860654458
East Timor,TLS,2027,1405671.8020306095
East Timor,TLS,2028,1407920.8769138586
East Timor,TLS,2029,1408906.4215276982
East Timor,TLS,2030,1408624.6402433927
East Timor,TLS,2031,1407075.1531391249
East Timor,TLS,2032,1404261.0028328467
East Timor,TLS,2033,1400188.6459246315
Ecuador,ECU,2024,17922497.8912
Ecuador,ECU,2025,17857976.89879168
Ecuador,ECU,2026,17786544.991196513
Ecuador,ECU,2027,17708284.19323525
Ecuador,ECU,2028,17623284.42910772
Ecuador,ECU,2029,17531643.35007636
Ecuador,ECU,2030,17433466.14731593
Ecuador,ECU,2031,17328865.350432035
Ecuador,ECU,2032,17217960.61218927
Ecuador,ECU,2033,17100878.480026383
Egypt,EGY,2024,115280206.206
Egypt,EGY,2025,116029527.54633899
Egypt,EGY,2026,116783719.47539018
Egypt,EGY,2027,117542813.6519802
Egypt,EGY,2028,118306841.94071807
Egypt,EGY,2029,119075836.41333273
Egypt,EGY,2030,119849829.35001938
Egypt,EGY,2031,120628853.2407945
Egypt,EGY,2032,121412940.78685965
Egypt,EGY,2033,122202124.90197423
El Salvador,SLV,2024,6288753.4025
El Salvador,SLV,2025,6267371.6409315
El Salvador,SLV,2026,6245435.840188241
El Salvador,SLV,2027,6222952.271163562
El Salvador,SLV,2028,6199927.347760257
El Salvador,SLV,2029,6176367.623838768
El Salvador,SLV,2030,6152279.790105797
El Salvador,SLV,2031,6127670.670945374
El Salvador,SLV,2032,6102547.221194498
El Salvador,SLV,2033,6076916.522865482
Equatorial Guinea,GNQ,2024,1882418.7688999998
Equatorial Guinea,GNQ,2025,1916302.3067402
Equatorial Guinea,GNQ,2026,1949071.0761854576
Equatorial Guinea,GNQ,2027,1980646.027619662
Equatorial Guinea,GNQ,2028,2010949.911842243
Equatorial Guinea,GNQ,2029,2039907.5905727714
Equatorial Guinea,GNQ,2030,2067446.3430455038
Equatorial Guinea,GNQ,2031,2093496.166967877
Equatorial Guinea,GNQ,2032,2117990.0721214013
Equatorial Guinea,GNQ,2033,2140864.3649003124
Eritrea,ERI,2024,3523440.2632000004
Eritrea,ERI,2025,3574530.1470164005
Eritrea,ERI,2026,3623501.2100305255
Eritrea,ERI,2027,3670244.3756399187
Eritrea,ERI,2028,3714654.3325851616
